id,id_microbe,id_disease,neg_relations,pos_relations,strength_raw,strength_IF
566,20,34207,0,1,1,0.726
567,20,1784,0,1,1,0.73
568,20,1800,0,1,1,0.793
569,20,6144,0,1,1,0.511
570,20,2981,1,2,1,0.73
571,20,55,0,1,1,0.453
572,20,13433,0,1,1,0.793
573,20,605,0,1,1,0.308
574,20,18597,0,1,1,0.502
575,20,6329,1,0,-1,-1.502
576,20,17580,1,0,-1,-0.704
577,20,15690,1,0,-1,-0.704
578,20,15551,1,0,-1,-3.5
579,20,33207,0,1,1,0.574
580,20,27798,0,1,1,0.793
581,20,4569,0,2,2,4.283
582,20,18316,0,1,1,0.793
583,20,6581,0,1,1,0.805
584,20,17952,1,0,-1,-0.944
585,20,4942,1,0,-1,-0.944
586,20,4939,1,0,-1,-0.944
587,20,1186,1,0,-1,-0.826
588,20,5558,0,2,2,1.61
589,20,16632,1,0,-1,-0.692
590,20,16174,0,1,1,0.794
591,20,15512,0,1,1,0.699
592,20,9168,1,0,-1,-0.793
593,20,2677,0,1,1,0.692
594,20,13914,0,1,1,0.775
595,20,18976,0,1,1,0.558
596,20,9868,1,0,-1,-0.699
597,20,13118,1,0,-1,-0.944
598,20,7441,0,1,1,0.699
599,20,12067,1,0,-1,-0.502
600,20,26661,0,1,1,0.182
601,20,11258,0,1,1,0.594
602,20,11882,0,2,2,1.727
603,20,33196,0,1,1,0.783
604,20,13353,0,1,1,0.885
605,20,13692,0,1,1,0.885
606,20,6302,1,0,-1,-0.713
607,20,11512,0,1,1,0.509
608,20,12488,0,3,3,5.209
609,20,4471,0,1,1,0.865
610,20,32850,1,0,-1,-0.783
611,20,12066,1,0,-1,-0.944
612,20,12187,1,0,-1,-0.538
613,20,31280,1,0,-1,-3.5
614,20,3908,0,1,1,0.68
615,20,11945,0,1,1,0.78
616,20,26507,0,1,1,0.677
617,20,8443,1,0,-1,-0.783
618,20,16036,0,1,1,0.622
619,20,8485,1,2,1,0.8
620,20,10081,3,0,-3,-2.017
621,20,1325,1,0,-1,-0.331
622,20,32294,0,1,1,3.5
623,20,22842,1,0,-1,-0.767
624,20,14941,0,1,1,0.783
625,20,14618,0,1,1,0.789
626,20,10694,0,1,1,0.793
627,20,29910,0,1,1,0.793
628,20,20844,0,1,1,0.818
629,20,6190,0,1,1,1.581
630,20,7997,0,1,1,0.759
631,20,5607,0,1,1,0.616
632,20,32126,0,1,1,0.616
633,20,10293,0,1,1,0.783
634,20,15333,1,0,-1,-1.031
635,20,10107,0,3,3,5.071
636,20,8911,0,2,2,1.701
637,20,1109,0,1,1,0.826
638,20,3030,1,1,0,-1.97
639,20,28401,1,0,-1,-0.783
640,20,10234,1,0,-1,-0.692
641,20,138,0,3,3,2.46
642,20,21789,0,1,1,0.936
643,20,8465,0,1,1,0.975
644,20,26985,0,1,1,0.507
645,20,17316,0,1,1,0.783
646,20,21790,1,0,-1,-0.976
647,20,6785,0,3,3,2.21
648,20,26722,0,1,1,0.783
649,20,3228,2,0,-2,-1.558
650,20,20192,1,0,-1,-0.523
651,20,1401,1,2,1,1.098
652,20,4800,1,0,-1,-0.777
653,20,9008,1,0,-1,-0.777
654,20,13359,1,0,-1,-0.818
655,20,8294,1,0,-1,-0.783
656,20,31636,0,1,1,0.783
657,20,794,0,1,1,0.975
658,20,31574,1,0,-1,-0.826
659,20,4205,0,3,3,2.52
660,20,30126,1,0,-1,-0.826
661,20,10954,0,2,2,1.316
662,20,2157,0,1,1,0.699
663,20,8102,1,1,0,-0.242
664,20,9254,0,1,1,0.818
665,20,6107,2,0,-2,-4.363
666,20,7983,1,0,-1,-0.819
667,20,362,0,1,1,0.523
668,20,12258,3,0,-3,-1.902
669,20,16330,1,1,0,-0.365
670,20,9687,1,1,0,-0.136
671,20,2980,0,1,1,0.583
672,20,25080,0,1,1,0.609
673,20,14074,0,1,1,1.491
674,20,1962,0,1,1,1.244
675,20,2066,0,2,2,2.412
676,20,5855,1,1,0,-0.469
677,20,8717,0,2,2,3.963
678,20,31002,0,1,1,0.944
679,20,20989,1,1,0,0.139
680,20,8137,0,1,1,0.87
681,20,15074,1,0,-1,-0.826
682,20,16088,1,1,0,-3.099
683,20,13287,0,1,1,0.666
684,20,10859,2,0,-2,-1.41
685,20,30933,0,1,1,0.692
686,20,10607,1,0,-1,-0.944
687,20,11510,0,5,5,4.133
688,20,7430,0,1,1,1.185
689,20,9935,1,0,-1,-0.65
690,20,5132,0,3,3,5.119
691,20,12047,0,1,1,0.818
692,20,3070,0,2,2,1.474
693,20,4953,0,1,1,0.803
694,20,18343,0,4,4,2.941
695,20,16643,1,0,-1,-0.944
696,20,26640,1,0,-1,-0.933
697,20,26603,0,1,1,0.975
698,20,509,2,3,1,0.963
699,20,12016,1,0,-1,-3.5
700,20,5929,1,1,0,-0.362
701,20,2559,1,5,4,3.653
702,20,1184,0,1,1,0.54
703,20,9971,1,1,0,0.003
704,20,6515,3,6,3,-0.619
705,20,10075,3,0,-3,-3.199
706,20,10342,0,1,1,0.692
707,20,30149,1,0,-1,-0.944
708,20,17023,1,0,-1,-0.944
709,20,18131,1,0,-1,-0.611
710,20,13242,2,0,-2,-1.918
711,20,9724,1,0,-1,-0.525
712,20,9720,1,0,-1,-0.525
713,20,2151,0,1,1,0.558
714,20,33,1,2,1,0.814
715,20,10222,1,0,-1,-0.604
716,20,1159,1,3,2,-1.237
717,20,3508,0,2,2,1.612
718,20,29944,0,1,1,1.147
719,20,16444,1,0,-1,-0.653
720,20,29834,0,1,1,0.784
721,20,9718,1,0,-1,-0.704
722,20,1472,1,0,-1,-0.512
723,20,29640,1,0,-1,-0.401
724,20,22177,0,1,1,0.826
725,20,3143,0,2,2,1.609
726,20,22967,1,0,-1,-0.595
727,20,3053,1,6,5,3.664
728,20,12997,0,1,1,0.793
729,20,21377,0,1,1,0.793
730,20,15090,0,1,1,0.705
731,20,10280,1,0,-1,-3.5
732,20,19015,2,0,-2,-1.523
733,20,14553,0,1,1,0.692
734,20,7161,4,1,-3,-4.474
735,20,2184,1,0,-1,-1.007
736,20,13826,1,0,-1,-0.782
737,20,6280,2,0,-2,-4.283
738,20,2261,0,1,1,3.5
739,20,1911,4,2,-2,-0.54
740,20,15205,5,4,-1,-4.055
741,20,5684,1,3,2,1.466
742,20,7243,0,1,1,0.692
743,20,21565,0,1,1,3.5
744,20,5041,1,0,-1,-0.944
745,20,14060,0,1,1,0.692
746,20,22174,1,0,-1,-3.5
747,20,8540,0,1,1,3.5
748,20,2685,0,1,1,3.5
749,20,2374,0,1,1,3.5
750,20,10973,0,1,1,3.5
751,20,18848,0,1,1,0.793
752,20,12731,0,1,1,0.43
753,20,12428,1,3,2,1.763
754,20,1413,1,6,5,2.893
755,20,7905,2,1,-1,-0.878
756,20,1271,2,4,2,0.695
757,20,9144,1,1,0,-0.013
758,20,13507,0,2,2,1.574
759,20,22064,0,4,4,5.915
760,20,3026,4,1,-3,-3.173
761,20,5930,1,2,1,-0.137
762,20,10447,1,1,0,-2.717
763,20,11462,6,2,-4,-7.539
764,20,2191,0,1,1,0.54
765,20,5149,0,3,3,2.071
766,20,5475,3,1,-2,-1.323
767,20,22809,1,0,-1,-0.793
768,20,4729,1,5,4,2.858
769,20,6073,1,1,0,0.238
770,20,10204,0,1,1,0.793
771,20,1374,0,8,8,6.436
772,20,20951,1,1,0,0.048
773,20,10788,2,1,-1,-0.833
774,20,14189,0,1,1,3.5
775,20,32,4,2,-2,-2.935
